Date, CostBasis
2013-10-10,163.6161616161616
2013-11-14,327.2323232323232
2013-12-19,490.8484848484849
2014-01-23,654.4646464646465
2014-02-27,818.0808080808082
2014-04-03,981.6969696969699
2014-05-08,1145.3131313131314
2014-06-12,1308.929292929293
2014-07-17,1472.5454545454547
2014-08-21,1636.1616161616164
2014-09-25,1799.777777777778
2014-10-30,1963.3939393939397
2014-12-04,2127.010101010101
2015-01-08,2290.6262626262624
2015-02-12,2454.2424242424236
2015-03-19,2617.858585858585
2015-04-23,2781.474747474746
2015-05-28,2945.090909090907
2015-07-02,3108.7070707070684
2015-08-06,3272.3232323232296
2015-09-10,3435.939393939391
2015-10-12,3736.939393939391
2015-10-15,3900.555555555552
2015-11-19,4064.171717171713
2015-12-24,4227.787878787874
2016-01-28,4391.404040404035
2016-03-03,4555.020202020197
2016-04-07,4718.6363636363585
2016-05-12,4882.25252525252
2016-06-16,5346.868686868682
2016-07-21,5510.4848484848435
2016-08-25,5674.101010101005
2016-09-29,5837.717171717167
2016-11-03,6001.3333333333285
2016-12-08,6164.94949494949
2017-02-21,6465.94949494949
2017-10-05,15467.732026143787
2017-10-30,15768.732026143787
2018-01-13,24770.514557338087
2018-04-23,33772.29708853239
2018-07-06,34073.29708853239
2018-08-01,43075.079619726675
2018-11-09,52076.86215092096
2019-02-17,61078.64468211525
2019-03-13,61379.64468211525
2019-05-28,70381.42721330954
2019-09-05,79383.20974450384
2019-11-18,79684.20974450384
2019-12-14,88685.99227569814
2020-03-23,97687.77480689244
2020-07-01,106689.55733808674
2020-10-09,115691.33986928104
2021-01-17,124693.12240047535
2021-04-27,133694.90493166965
